iter	Passed	Remaining
918	11560	1018
919	11573	1006
920	11584	993
921	11596	981
922	11611	968
923	11623	956
924	11632	943
925	11643	930
926	11654	917
927	11663	904
928	11675	892
929	11685	879
930	11695	866
931	11705	854
932	11715	841
933	11726	828
934	11736	815
935	11746	803
936	11757	790
937	11767	777
938	11777	765
939	11788	752
940	11798	739
941	11808	727
942	11819	714
943	11832	701
944	11844	689
945	11857	676
946	11871	664
947	11886	652
948	11898	639
949	11908	626
950	11919	614
951	11929	601
952	11940	588
953	11951	576
954	11963	563
955	11974	551
956	11987	538
957	12001	526
958	12012	513
959	12025	501
960	12037	488
961	12050	476
962	12060	463
963	12073	450
964	12086	438
965	12099	425
966	12108	413
967	12121	400
968	12134	388
969	12147	375
970	12158	363
971	12170	350
972	12184	338
973	12197	325
974	12208	313
975	12220	300
976	12233	287
977	12245	275
978	12257	262
979	12270	250
980	12284	237
981	12297	225
982	12310	212
983	12328	200
984	12341	187
985	12353	175
986	12366	162
987	12380	150
988	12391	137
989	12403	125
990	12416	112
991	12429	100
992	12442	87
993	12452	75
994	12466	62
995	12478	50
996	12491	37
997	12502	25
998	12515	12
999	12528	0
